database,collection,2018-07-11,2018-07-12,2018-07-13,2018-07-14,2018-07-15,2018-07-16,2018-07-17,2018-07-18
india_database,bifr_causelists,0,0,0,0,0,0,0,0
india_database,tribunals,4,0,0,0,0,0,0,0
india_database,central_causelists,16,2,0,1,0,0,0,0
india_database,consumer_causelists,460,279,241,15,0,114,0,0
india_database,district_causelists,45685,41232,36324,17833,1078,25082,17753,8558
india_database,east_causelists,14,3,0,0,0,0,0,0
india_database,north_causelists,85,7,3,1,0,0,0,0
india_database,south_causelists,10,1,0,0,0,1,0,0
india_database,supreme_causelists,0,0,0,0,0,0,0,0
india_database,west_causelists,9,5,12,1,0,0,0,0
india_database,other_causelists,365,380,258,5,3,342,292,283
india_database,cestat_causelists,16,0,0,0,0,0,0,0
india_database,itat_causelists,0,0,0,0,0,0,0,0
india_database,cibil_india,0,0,0,0,0,0,0,0
india_database,pan_india,0,0,0,0,0,0,0,0
india_database,roc,0,0,0,0,0,0,0,0
india_database_email,bifr_causelists,0,0,0,0,0,0,0,0
india_database_email,tribunals,3,0,0,0,0,0,0,0
india_database_email,central_causelists,16,2,0,1,0,0,0,0
india_database_email,consumer_causelists,460,279,241,15,0,114,0,0
india_database_email,district_causelists,45686,41239,36329,17835,1078,25085,17760,8574
india_database_email,east_causelists,14,3,0,0,0,0,0,0
india_database_email,north_causelists,85,7,3,1,0,0,0,0
india_database_email,south_causelists,10,1,0,0,0,1,0,0
india_database_email,supreme_causelists,0,0,0,0,0,0,0,0
india_database_email,west_causelists,10,5,12,1,0,0,0,0
india_database_email,other_causelists,365,380,258,5,3,342,292,283
india_database_email,cestat_causelists,16,0,0,0,0,0,0,0
india_database_email,itat_causelists,0,0,0,0,0,0,0,0
india_database_email,cibil_india,0,0,0,0,0,0,0,0
india_database_email,pan_india,0,0,0,0,0,0,0,0
india_database_email,roc,0,0,0,0,0,0,0,0
in,bifr_causelists,0,0,0,0,0,0,0,0
in,tribunals,0,0,0,0,0,0,0,0
in,central_causelists,0,0,0,0,0,0,0,0
in,consumer_causelists,0,0,0,0,0,0,0,0
in,district_causelists,0,0,0,0,0,0,0,0
in,east_causelists,0,0,0,0,0,0,0,0
in,north_causelists,0,0,0,0,0,0,0,0
in,south_causelists,0,0,0,0,0,0,0,0
in,supreme_causelists,0,0,0,0,0,0,0,0
in,west_causelists,0,0,0,0,0,0,0,0
in,other_causelists,0,0,0,0,0,0,0,0
in,cestat_causelists,0,0,0,0,0,0,0,0
in,itat_causelists,0,0,0,0,0,0,0,0
in,cibil_india,0,0,0,0,0,0,0,0
in,pan_india,0,0,0,0,0,0,0,0
in,roc,0,0,0,0,0,0,0,0
